	cond1	cond2	cond3
gene1	252	233	182
gene2	141	179	216
gene3	165	195	175
gene4	174	190	188
gene5	192	231	194
gene6	225	142	197
gene7	176	190	218
gene8	191	210	175
gene9	229	162	191
gene10	170	112	192
gene11	125	194	215
gene12	229	179	188
gene13	176	267	201
gene14	190	201	199
gene15	189	295	171
gene16	239	222	192
gene17	170	202	228
gene18	233	288	231
gene19	180	276	201
gene20	219	180	185
gene21	229	185	198
gene22	223	186	191
gene23	203	224	188
gene24	161	173	174
gene25	247	144	210
gene26	199	241	170
gene27	224	56	208
gene28	260	147	208
gene29	225	217	165
gene30	327	243	184
gene31	171	250	195
gene32	244	241	186
gene33	170	121	195
gene34	115	166	219
gene35	272	240	206
gene36	131	210	210
gene37	240	206	242
gene38	173	230	170
gene39	279	257	187
gene40	85	243	215
gene41	175	167	159
gene42	231	163	217
gene43	198	273	236
gene44	214	195	250
gene45	219	208	170
gene46	235	157	199
gene47	171	266	210
gene48	315	195	171
gene49	215	198	229
gene50	206	210	191
